# nu	S
733.3 0.0139883119594
737.43 0.0139913332349
738.02 0.0139943453097
871.34 0.0139958458083
873.28 0.0139973310088
874.66 0.0139988054194
876.66 0.0140002643278
1130.37 0.0140006373574
1130.67 0.014001009777
1130.88 0.01400138177
1131.62 0.0140017522641
1493.37 0.0140018021052
1499.94 0.0140018501388
1512.76 0.0140018948298
1517.92 0.0140019382414
1571.26 0.0140019703755
1585.18 0.0140020000789
1602.03 0.0140020270823
1621.98 0.0140020512016
62.73 0.0141047925201
89.42 0.0141891651993
91.86 0.0142721540761
95.56 0.0143531168497
125.91 0.0144200814782
128.71 0.0144859441405
132.19 0.0145504736086
136.91 0.0146132559285
160.52 0.0146682147915
162.99 0.0147224324739
174.54 0.0147733512542
177.94 0.0148233480545
196.5 0.0148686623112
196.7 0.014913929104
212.55 0.0149556162601
213.06 0.014997193909
226.26 0.0150360501329
235.33 0.0150731546941
238.43 0.0151096811803
252.41 0.0151437227117
271.02 0.0151747401519
276.31 0.0152049520165
282.1 0.0152343077696
292.36 0.0152622091769
312.46 0.0152874765726
325.2 0.0153112093731
331.08 0.0153342665515
333.53 0.0153570480607
353.45 0.0153777090707
354.94 0.0153982197418
366.45 0.0154176055761
367.8 0.0154368636055
370.38 0.0154558797294
384.39 0.0154736342914
389.27 0.0154909692959
391.39 0.0155081251168
711.43 0.0155115799463
714.75 0.015514976238
715.33 0.015518362402
717.97 0.015521702835
732.27 0.015524805743
732.41 0.0155279064082
737.49 0.0155309267468
738.59 0.0155339299586
868.71 0.0155354514413
871.06 0.0155369541605
875.68 0.0155384206451
877.76 0.0155398710948
1129.98 0.015540244919
1130.35 0.0155406179893
1131.27 0.0155409891917
1132.52 0.0155413578706
1486.83 0.0155414095778
1493.65 0.0155414593405
1526.62 0.0155415006764
1543.18 0.0155415383287
1551.38 0.0155415742792
1553.34 0.0155416098344
1615.92 0.0155416347959
1640.67 0.0155416564909
67.92 0.0156402595965
73.4 0.0157348326853
82.02 0.0158236579719
93.73 0.0159056122836
131.24 0.0159705018003
140.93 0.0160318484281
149.02 0.0160904410545
154.16 0.0161473709895
160.24 0.0162024147108
171.23 0.016254251885
176.15 0.0163047314265
188.04 0.0163521099319
189.86 0.0163990348238
195.25 0.0164446470959
202.54 0.0164885539353
206.71 0.016531519517
217.52 0.0165721536844
230.27 0.016610224138
238.01 0.0166468283476
251.5 0.0166810257999
256.05 0.0167144514214
269.69 0.0167456750113
278.16 0.0167756104713
285.35 0.0168044970362
323.17 0.0168284677753
332.91 0.0168513187259
336.95 0.0168737210392
344.46 0.0168953130595
351.15 0.0169162083231
355.57 0.0169366557605
357.8 0.016956880945
366.14 0.0169762962468
371.04 0.0169952509781
377.54 0.017013611571
390.9 0.0170308086429
392.44 0.017047876399
712.43 0.0170513134949
713.74 0.0170547274926
715.91 0.0170581035581
716.37 0.0170614716351
732.74 0.0170645670202
733.3 0.0170676534648
737.43 0.0170706747402
738.02 0.0170736868151
871.34 0.0170751873137
873.28 0.0170766725142
874.66 0.0170781469248
876.66 0.0170796058332
1130.37 0.0170799788628
1130.67 0.0170803512823
1130.88 0.0170807232754
1131.62 0.0170810937695
1493.37 0.0170811436106
1499.94 0.0170811916442
1512.76 0.0170812363352
1517.92 0.0170812797468
1571.26 0.0170813118809
1585.18 0.0170813415843
1602.03 0.0170813685877
1621.98 0.017081392707
67.92 0.0171799958125
73.4 0.0172745689013
82.02 0.017363394188
93.73 0.0174453484996
131.24 0.0175102380164
140.93 0.0175715846442
149.02 0.0176301772705
154.16 0.0176871072055
160.24 0.0177421509268
171.23 0.017793988101
176.15 0.0178444676425
188.04 0.0178918461479
189.86 0.0179387710398
195.25 0.017984383312
202.54 0.0180282901513
206.71 0.018071255733
217.52 0.0181118899004
230.27 0.018149960354
238.01 0.0181865645636
251.5 0.0182207620159
256.05 0.0182541876374
269.69 0.0182854112273
278.16 0.0183153466873
285.35 0.0183442332523
323.17 0.0183682039913
332.91 0.0183910549419
336.95 0.0184134572552
344.46 0.0184350492755
351.15 0.0184559445391
355.57 0.0184763919765
357.8 0.018496617161
366.14 0.0185160324628
371.04 0.0185349871941
377.54 0.018553347787
390.9 0.0185705448589
392.44 0.0185876126151
712.43 0.0185910497109
713.74 0.0185944637086
715.91 0.0185978397741
716.37 0.0186012078512
732.74 0.0186043032362
733.3 0.0186073896808
737.43 0.0186104109562
738.02 0.0186134230311
871.34 0.0186149235297
873.28 0.0186164087302
874.66 0.0186178831408
876.66 0.0186193420492
1130.37 0.0186197150788
1130.67 0.0186200874984
1130.88 0.0186204594914
1131.62 0.0186208299855
1493.37 0.0186208798266
1499.94 0.0186209278602
1512.76 0.0186209725512
1517.92 0.0186210159628
1571.26 0.0186210480969
1585.18 0.0186210778003
1602.03 0.0186211048037
1621.98 0.018621128923
26.09 0.0187698974579
64.03 0.0188715700912
86.33 0.0189577532976
105.42 0.0190336988065
113.31 0.0191059786485
126.29 0.0191727921477
126.82 0.019239395696
142.31 0.019300260069
142.99 0.0193608887466
152.9 0.0194182203205
154.34 0.019475093187
172.95 0.0195264505196
181.99 0.0195753763051
189.01 0.0196225123831
197.95 0.0196674838815
204.21 0.0197110108534
216.13 0.0197519363658
222.67 0.0197915118246
246.77 0.0198265325319
264.29 0.0198586084526
270.38 0.0198897249089
278.94 0.0199195446422
296 0.0199469485408
297.98 0.0199740857401
314.9 0.0199990514882
322.32 0.0200231225838
323.84 0.0200470145216
342.06 0.0200688621996
344.24 0.0200904775283
357.48 0.0201107344554
361.59 0.020130587474
367.82 0.0201498436164
372.6 0.0201686540251
387.13 0.0201861717886
388.46 0.0202035757444
427.23 0.0202179652013
707.86 0.0202214840637
710.25 0.0202249599326
716.79 0.0202283207318
718.63 0.0202316498256
734.13 0.0202347230651
736 0.0202377667532
737.89 0.0202407808529
740.38 0.0202437563954
866.75 0.0202452937016
872.86 0.0202467822011
874.44 0.0202482583267
879.94 0.0202496921537
1131.53 0.0202500628297
